Frequency (Hz)	Level (dB)
2939.282227	-97.748032
2950.048828	-97.735229
2960.815430	-99.256592
2971.582031	-100.591988
2982.348633	-102.583191
2993.115234	-103.757446
3003.881836	-103.968925
3014.648438	-105.160408
3025.415039	-106.129417
3036.181641	-106.935875
3046.948242	-106.709412
3057.714844	-105.881859
3068.481445	-106.219742
3079.248047	-106.400742
3090.014648	-105.240295
3100.781250	-105.754440
3111.547852	-107.721786
3122.314453	-105.396645
3133.081055	-104.617432
3143.847656	-106.354507
3154.614258	-103.772163
3165.380859	-104.136932
3176.147461	-104.299423
3186.914062	-101.393761
3197.680664	-102.326424
3208.447266	-103.382065
3219.213867	-103.907425
3229.980469	-105.021492
3240.747070	-103.238945
3251.513672	-103.878677
3262.280273	-104.458893
3273.046875	-102.622589
3283.813477	-105.378609
3294.580078	-104.630836
3305.346680	-103.170166
3316.113281	-103.959793
3326.879883	-103.227364
3337.646484	-103.937225
3348.413086	-104.348045
3359.179688	-102.546349
3369.946289	-104.330177
3380.712891	-105.026474
3391.479492	-104.135803
3402.246094	-105.835030
3413.012695	-103.886047
3423.779297	-104.072563
3434.545898	-103.701988
3445.312500	-101.635857
3456.079102	-104.954399
3466.845703	-104.194519
3477.612305	-103.551575
3488.378906	-105.017746
3499.145508	-102.993156
3509.912109	-104.550224
3520.678711	-105.071198
3531.445312	-102.135345
3542.211914	-104.085876
3552.978516	-103.624054
3563.745117	-102.567215
3574.511719	-103.709908
3585.278320	-102.611916
3596.044922	-103.089653
3606.811523	-105.218063
3617.578125	-102.855766
3628.344727	-105.221474
3639.111328	-105.088516
3649.877930	-104.281372
3660.644531	-105.596947
3671.411133	-104.333504
3682.177734	-103.882919
3692.944336	-103.263794
3703.710938	-102.290932
3714.477539	-104.422485
3725.244141	-106.135002
3736.010742	-106.131035
3746.777344	-106.905220
3757.543945	-106.482994
3768.310547	-107.482071
3779.077148	-106.941055
3789.843750	-104.024689
3800.610352	-106.017242
3811.376953	-106.281151
3822.143555	-105.918671
3832.910156	-106.395973
3843.676758	-104.856361
3854.443359	-105.594597
3865.209961	-104.286362
3875.976562	-102.157722
3886.743164	-104.676277
3897.509766	-105.246376
3908.276367	-103.697662
3919.042969	-104.917763
3929.809570	-101.916382
3940.576172	-102.085121
3951.342773	-105.265305
3962.109375	-103.121635
3972.875977	-104.653816
3983.642578	-102.684357
3994.409180	-101.931145
4005.175781	-103.911812
4015.942383	-102.940620
4026.708984	-102.758034
4037.475586	-103.722855
4048.242188	-101.014946
4059.008789	-103.021942
4069.775391	-104.070580
4080.541992	-102.986183
4091.308594	-104.147011
4102.075195	-103.740120
4112.841797	-104.928139
4123.608398	-106.342590
4134.375000	-104.207840
4145.141602	-106.228088
4155.908203	-106.367683
4166.674805	-105.608253
4177.441406	-104.819252
4188.208008	-104.764656
4198.974609	-105.459122
4209.741211	-105.156822
4220.507812	-102.849480
4231.274414	-104.985863
4242.041016	-105.474731
4252.807617	-104.278053
4263.574219	-103.749397
4274.340820	-103.946953
4285.107422	-106.181778
4295.874023	-108.684875
4306.640625	-105.487961
4317.407227	-105.472000
4328.173828	-106.969131
4338.940430	-107.700027
4349.707031	-107.169685
4360.473633	-106.635780
4371.240234	-107.724007
4382.006836	-107.370903
4392.773438	-104.668968
4403.540039	-108.201477
4414.306641	-109.101807
4425.073242	-109.551445
4435.839844	-110.813400
4446.606445	-110.508202
4457.373047	-109.773003
4468.139648	-108.779572
4478.906250	-106.417870
4489.672852	-108.456192
4500.439453	-109.569580
4511.206055	-108.057335
4521.972656	-108.453300
4532.739258	-108.314468
4543.505859	-107.988197
4554.272461	-108.170906
4565.039062	-104.739372
4575.805664	-106.532532
4586.572266	-106.393570
4597.338867	-105.360985
4608.105469	-107.390411
4618.872070	-105.808426
4629.638672	-106.450706
4640.405273	-107.063568
4651.171875	-104.635063
4661.938477	-106.880257
4672.705078	-108.375732
4683.471680	-108.508331
4694.238281	-109.472542
4705.004883	-107.447899
4715.771484	-109.003235
4726.538086	-110.894783
4737.304688	-107.508598
4748.071289	-108.754585
4758.837891	-111.763954
4769.604492	-111.007362
4780.371094	-111.959785
4791.137695	-112.845467
4801.904297	-113.261940
4812.670898	-110.785027
4823.437500	-107.262794
4834.204102	-109.976540
4844.970703	-111.229301
4855.737305	-112.067413
4866.503906	-110.988304
4877.270508	-112.142754
4888.037109	-111.594536
4898.803711	-109.391815
4909.570312	-108.661758
4920.336914	-112.017113
4931.103516	-113.252754
4941.870117	-113.562286
4952.636719	-114.037247
4963.403320	-115.607239
4974.169922	-115.493965
4984.936523	-115.270752
4995.703125	-113.697586
5006.469727	-112.620682
5017.236328	-112.619225
5028.002930	-109.960861
5038.769531	-107.587341
5049.536133	-108.369896
5060.302734	-109.050232
5071.069336	-107.075981
5081.835938	-105.933113
5092.602539	-108.313004
5103.369141	-109.274582
5114.135742	-109.319191
5124.902344	-109.100288
5135.668945	-109.020653
5146.435547	-109.632439
5157.202148	-109.779160
5167.968750	-108.400421
5178.735352	-109.366615
5189.501953	-110.536957
5200.268555	-111.375122
5211.035156	-110.380058
5221.801758	-111.590424
5232.568359	-113.401749
5243.334961	-113.317650
5254.101562	-110.817352
5264.868164	-111.644073
5275.634766	-113.726936
5286.401367	-111.153648
5297.167969	-109.646446
5307.934570	-112.115280
5318.701172	-113.452301
5329.467773	-111.937935
5340.234375	-110.809624
5351.000977	-110.989021
5361.767578	-112.235649
5372.534180	-112.322647
5383.300781	-111.022827
5394.067383	-112.814598
5404.833984	-113.913132
5415.600586	-112.014275
5426.367188	-109.478020
5437.133789	-111.696564
5447.900391	-114.826157
5458.666992	-114.146286
5469.433594	-111.816681
